Time [s],Channel 0,Channel 1,Channel 2
1.732616640,0,0,0
1.732616960,0,1,0
1.732617280,0,0,0
1.732617760,0,1,0
1.732618080,0,0,0
1.732618400,0,1,0
1.732618720,0,0,0
1.732619040,0,1,0
1.732619360,0,0,0
1.732619680,0,1,0
1.732620000,0,0,0
1.732620320,0,1,0
1.732620640,0,0,0
1.732620960,0,1,0
1.732621280,0,0,0
1.732621760,0,1,0
1.732622080,0,0,0
1.732622400,0,1,0
1.732622720,0,0,0
1.732623040,0,1,0
1.732623360,0,0,0
1.732623680,0,1,0
1.732624000,0,0,0
1.732624320,0,1,0
1.732624640,0,0,0
1.732624960,0,1,0
1.732625280,0,0,0
1.732625760,0,1,0
1.732626080,0,0,0
1.732626400,0,1,0
1.732626720,0,0,1
1.732627040,0,1,1
1.732627360,0,0,0
1.732627680,0,1,0
1.732628000,0,0,0
1.732628320,0,1,0
1.732628640,0,0,0
1.732628960,0,1,0
1.732629280,0,0,0
1.732629760,0,1,0
1.732630080,0,0,1
1.732630400,0,1,1
1.732630720,0,0,0
1.732631040,0,1,0
1.732631360,0,0,0
1.732631680,0,1,0
1.732632000,0,0,1
1.732632320,0,1,1
1.732632640,0,0,1
1.732632960,0,1,1
1.732633280,0,0,1
1.732633760,0,1,1
1.732634080,0,0,0
1.732634400,0,1,0
1.732634720,0,0,0
1.732635040,0,1,0
1.732635360,0,0,1
1.732635680,0,1,1
1.732636000,0,0,0
1.732636320,0,1,0
1.732636640,0,0,0
1.732636960,0,1,0
1.732637280,0,0,0
1.732637760,0,1,0
1.732886720,0,0,0
1.732887040,0,1,0
1.732887360,0,0,0
1.732887680,0,1,0
1.732888000,0,0,0
1.732888320,0,1,0
1.732888640,0,0,0
1.732888960,0,1,0
1.732889280,0,0,0
1.732889440,1,0,1
1.732889760,1,1,1
1.732890080,0,0,0
1.732890400,0,1,0
1.732890720,0,0,0
1.732891040,0,1,0
1.732891360,0,0,0
1.732891680,0,1,0
1.732892000,0,0,0
1.732892320,0,1,0
1.732892640,0,0,0
1.732892960,0,1,0
1.732893280,0,0,0
1.732893760,0,1,0
1.732894080,0,0,0
1.732894400,0,1,0
1.732894720,0,0,0
1.732895040,0,1,0
1.732895360,0,0,0
1.732895680,0,1,0
1.732896000,0,0,0
1.732896320,0,1,0
1.732896640,0,0,0
1.732896960,0,1,0
1.732897280,0,0,0
1.732897440,1,0,1
1.732897760,1,1,1
1.732898080,0,0,0
1.732898400,0,1,0
1.732898720,0,0,0
1.732899040,0,1,0
1.732899360,0,0,0
1.732899680,0,1,0
1.732900000,1,0,0
1.732900320,1,1,0
1.732900640,0,0,0
1.732900960,0,1,0
1.732901280,0,0,0
1.732901760,0,1,0
1.732902080,1,0,0
1.732902400,1,1,0
1.732902720,1,0,0
1.732903040,1,1,0
1.732903360,1,0,0
1.732903680,1,1,0
1.732904000,1,0,0
1.732904320,1,1,0
1.732904640,1,0,1
1.732904960,1,1,1
1.732905280,1,0,1
1.732905440,1,0,0
1.732905760,1,1,0
1.732906080,0,0,0
1.732906400,0,1,0
1.732906720,1,0,1
1.732907040,1,1,1
1.732907360,0,0,0
1.732907680,0,1,0
1.733165280,0,0,0
1.733165760,0,1,0
1.733166080,0,0,0
1.733166400,0,1,0
1.733166720,0,0,0
1.733167040,0,1,0
1.733167360,0,0,0
1.733167680,0,1,0
1.733168000,0,0,0
1.733168320,0,1,0
1.733168640,0,0,0
1.733168960,0,1,0
1.733169280,0,0,0
1.733169760,0,1,0
1.733170080,0,0,0
1.733170400,0,1,0
1.733170720,0,0,0
1.733171040,0,1,0
1.733171360,0,0,0
1.733171680,0,1,0
1.733172000,0,0,0
1.733172320,0,1,0
1.733172640,0,0,0
1.733172960,0,1,0
1.733173280,0,0,0
1.733173760,0,1,0
1.733174080,0,0,0
1.733174400,0,1,0
1.733174720,0,0,0
1.733175040,0,1,0
1.733175360,1,0,0
1.733175680,1,1,0
1.733176000,0,0,0
1.733176320,0,1,0
1.733176640,0,0,0
1.733176960,0,1,0
1.733177280,0,0,0
1.733177760,0,1,0
1.733178080,0,0,0
1.733178400,0,1,0
1.733178720,1,0,0
1.733179040,1,1,0
1.733179360,0,0,0
1.733179680,0,1,0
1.733180000,0,0,0
1.733180320,0,1,0
1.733180640,0,0,0
1.733180960,0,1,0
1.733181280,0,0,0
1.733181760,0,1,0
1.733182080,1,0,0
1.733182400,1,1,0
1.733182720,0,0,0
1.733183040,0,1,0
1.733183360,0,0,0
1.733183680,0,1,0
1.733184000,0,0,0
1.733184320,0,1,0
1.733184640,0,0,0
1.733184960,0,1,0
1.733185280,0,0,0
1.733185440,1,0,0
1.733185760,1,1,0
1.733186080,0,0,0
1.733186400,0,1,0
1.733618080,0,0,0
1.733618400,0,1,0
1.733618720,0,0,0
1.733619040,0,1,0
1.733619360,0,0,0
1.733619680,0,1,0
1.733620000,0,0,0
1.733620320,0,1,0
1.733620640,1,0,1
1.733620960,1,1,1
1.733621280,0,0,1
1.733621440,0,0,0
1.733621760,0,1,0
1.733622080,0,0,0
1.733622400,0,1,0
1.733622720,1,0,0
1.733623040,1,1,0
1.733623360,0,0,0
1.733623680,0,1,0
1.733624000,0,0,0
1.733624320,0,1,0
1.733624640,0,0,0
1.733624960,0,1,0
1.733625280,0,0,0
1.733625440,1,0,0
1.733625760,1,1,0
1.733626080,0,0,0
1.733626400,0,1,0
1.733626720,0,0,0
1.733627040,0,1,0
1.733627360,0,0,0
1.733627680,0,1,0
1.733628000,0,0,0
1.733628320,0,1,0
1.733628640,1,0,1
1.733628960,1,1,1
1.733629280,0,0,1
1.733629440,0,0,0
1.733629760,0,1,0
1.733630080,0,0,0
1.733630400,0,1,0
1.733630720,0,0,0
1.733631040,0,1,0
1.733631360,0,0,1
1.733631680,0,1,1
1.733632000,0,0,0
1.733632320,0,1,0
1.733632640,0,0,0
1.733632960,0,1,0
1.733633280,0,0,0
1.733633760,0,1,0
1.733634080,0,0,0
1.733634400,0,1,0
1.733634720,0,0,1
1.733635040,0,1,1
1.733635360,1,0,1
1.733635680,1,1,1
1.733636000,0,0,1
1.733636320,0,1,1
1.733636640,1,0,0
1.733636960,1,1,0
1.733637280,0,0,0
1.733637440,0,0,1
1.733637760,0,1,1
1.733638080,1,0,0
1.733638400,1,1,0
1.733638720,0,0,0
1.733639040,0,1,0
1.733889280,0,0,0
1.733889760,0,1,0
1.733890080,0,0,0
1.733890400,0,1,0
1.733890720,0,0,0
1.733891040,0,1,0
1.733891360,0,0,0
1.733891680,0,1,0
1.733892000,0,0,0
1.733892320,0,1,0
1.733892640,0,0,1
1.733892960,0,1,1
1.733893280,0,0,1
1.733893760,0,1,1
1.733894080,0,0,1
1.733894400,0,1,1
1.733894720,0,0,1
1.733895040,0,1,1
1.733895360,0,0,1
1.733895680,0,1,1
1.733896000,0,0,1
1.733896320,0,1,1
1.733896640,0,0,1
1.733896960,0,1,1
1.733897280,0,0,1
1.733897760,0,1,1
1.733898080,0,0,0
1.733898400,0,1,0
1.733898720,0,0,0
1.733899040,0,1,0
1.733899360,0,0,0
1.733899680,0,1,0
1.733900000,0,0,0
1.733900320,0,1,0
1.733900640,0,0,0
1.733900960,0,1,0
1.733901280,0,0,0
1.733901760,0,1,0
1.733902080,0,0,0
1.733902400,0,1,0
1.733902720,0,0,1
1.733903040,0,1,1
1.733903360,0,0,0
1.733903680,0,1,0
1.733904000,0,0,0
1.733904320,0,1,0
1.733904640,0,0,0
1.733904960,0,1,0
1.733905280,0,0,0
1.733905760,0,1,0
1.733906080,0,0,1
1.733906400,0,1,1
1.733906720,0,0,0
1.733907040,0,1,0
1.733907360,0,0,1
1.733907680,0,1,1
1.733908000,0,0,1
1.733908320,0,1,1
1.733908640,0,0,0
1.733908960,0,1,0
1.733909280,0,0,0
1.733909760,0,1,0
1.733910080,0,0,0
1.733910400,0,1,0
