Time [s],Channel 0,Channel 1,Channel 2
3.342372320,0,0,0
3.342372480,0,0,1
3.342372960,0,0,0
3.342373280,0,0,1
3.342373600,0,0,0
3.342373920,0,0,1
3.342374240,1,0,0
3.342374560,1,0,1
3.342375040,1,0,0
3.342375200,1,0,1
3.342375680,0,0,0
3.342375840,0,0,1
3.342376320,0,0,0
3.342376480,0,0,1
3.342376960,1,1,0
3.342377280,1,1,1
3.342377600,0,0,0
3.342377920,0,0,1
3.346354240,0,0,0
3.346354400,0,0,1
3.346354880,0,0,0
3.346355040,0,0,1
3.346355520,0,0,0
3.346355840,0,0,1
3.346356160,0,0,0
3.346356480,0,0,1
3.346356800,0,0,0
3.346357120,0,0,1
3.346357600,0,0,0
3.346357760,0,0,1
3.346358240,0,0,0
3.346358400,0,0,1
3.346358880,0,0,0
3.346359040,0,0,1
3.346359520,0,0,0
3.346359840,0,0,1
3.346360160,0,0,0
3.346360480,0,0,1
3.346360800,0,0,0
3.346361120,0,0,1
3.346361600,0,0,0
3.346361760,0,0,1
3.346362240,0,0,0
3.346362400,0,0,1
3.346362880,0,0,0
3.346363040,0,0,1
3.346363520,0,0,0
3.346363840,0,0,1
3.346364160,0,0,0
3.346364480,0,0,1
3.346364800,0,0,0
3.346365120,0,0,1
3.346365600,0,0,0
3.346365760,0,0,1
3.346366240,0,0,0
3.346366400,0,0,1
3.346366880,0,0,0
3.346367040,0,0,1
3.346367520,1,0,0
3.346367840,1,0,1
3.346368160,0,0,0
3.346368480,0,0,1
3.346368800,0,0,0
3.346369120,0,0,1
3.346369600,0,0,0
3.346369760,0,0,1
3.346370240,0,0,0
3.346370400,0,0,1
3.346370880,0,0,0
3.346371040,0,0,1
3.346371520,1,0,0
3.346371840,1,0,1
3.346372160,0,0,0
3.346372480,0,0,1
3.346372800,0,0,0
3.346373120,0,0,1
3.346373440,0,0,0
3.346373760,0,0,1
3.346374240,0,0,0
3.346374400,0,0,1
3.346374880,0,0,0
3.346375040,0,0,1
3.346810560,0,0,0
3.346810720,0,0,1
3.346811200,0,0,0
3.346811360,0,0,1
3.346811840,0,0,0
3.346812160,0,0,1
3.346812480,0,0,0
3.346812800,0,0,1
3.346813120,1,1,1
3.346813280,1,1,0
3.346813440,1,1,1
3.346813760,1,0,1
3.346813920,1,0,0
3.346814080,1,0,1
3.346814560,1,0,0
3.346814720,1,0,1
3.346815200,1,0,0
3.346815360,1,0,1
3.346815840,0,0,0
3.346816160,0,0,1
3.346816480,0,0,0
3.346816800,0,0,1
3.346817120,0,0,0
3.346817440,0,0,1
3.346817760,1,0,1
3.346817920,1,0,0
3.346818080,1,0,1
3.346818560,0,0,0
3.346818720,0,0,1
3.346819200,0,0,0
3.346819360,0,0,1
3.346819840,0,0,0
3.346820160,0,0,1
3.346820480,0,0,0
3.346820800,0,0,1
3.346821120,1,1,0
3.346821440,1,1,1
3.346821760,0,0,0
3.346822080,0,0,1
3.346822560,0,0,0
3.346822720,0,0,1
3.346823200,0,0,0
3.346823360,0,0,1
3.346823840,0,1,0
3.346824160,0,1,1
3.346824480,0,0,0
3.346824800,0,0,1
3.346825120,0,0,0
3.346825440,0,0,1
3.346825920,0,0,0
3.346826080,0,0,1
3.346826560,0,0,0
3.346826720,0,0,1
3.346827200,0,0,0
3.346827360,0,0,1
3.346827840,0,1,0
3.346828160,0,1,1
3.346828480,1,1,0
3.346828800,1,1,1
3.346829120,1,0,0
3.346829440,1,0,1
3.346829760,0,0,0
3.346830080,0,0,1
3.346830400,1,0,1
3.346830560,1,1,0
3.346830720,1,1,1
3.346831200,0,0,0
3.346831360,0,0,1
3.347073920,0,0,0
3.347074080,0,0,1
3.347074560,0,0,0
3.347074720,0,0,1
3.347075200,0,0,0
3.347075360,0,0,1
3.347075840,0,0,0
3.347076160,0,0,1
3.347076480,0,0,0
3.347076800,0,0,1
3.347077120,0,0,0
3.347077440,0,0,1
3.347077920,0,0,0
3.347078080,0,0,1
3.347078560,0,0,0
3.347078720,0,0,1
3.347079200,0,1,0
3.347079360,0,1,1
3.347079840,0,0,0
3.347080160,0,0,1
3.347080480,0,0,0
3.347080800,0,0,1
3.347081120,0,0,0
3.347081440,0,0,1
3.347081920,0,0,0
3.347082080,0,0,1
3.347082560,0,0,0
3.347082720,0,0,1
3.347083200,0,0,0
3.347083360,0,0,1
3.347083840,0,0,0
3.347084160,0,0,1
3.347084480,0,0,0
3.347084800,0,0,1
3.347085120,0,0,0
3.347085440,0,0,1
3.347085760,0,0,0
3.347086080,0,0,1
3.347086560,0,0,0
3.347086720,0,0,1
3.347087200,0,1,0
3.347087360,0,1,1
3.347087840,0,0,0
3.347088160,0,0,1
3.347088480,0,0,0
3.347088800,0,0,1
3.347089120,0,0,0
3.347089440,0,0,1
3.347089760,0,0,0
3.347090080,0,0,1
3.347090560,0,0,0
3.347090720,0,0,1
3.347091200,0,1,0
3.347091360,0,1,1
3.347091840,0,0,0
3.347092160,0,0,1
3.347092480,0,0,0
3.347092800,0,0,1
3.347093120,0,1,0
3.347093440,0,1,1
3.347093760,0,0,0
3.347094080,0,0,1
3.347094560,0,0,0
3.347094720,0,0,1
3.347333920,0,0,0
3.347334080,0,0,1
3.347334560,0,0,0
3.347334720,0,0,1
3.347335200,0,0,0
3.347335360,0,0,1
3.347335840,0,0,0
3.347336160,0,0,1
3.347336480,1,1,0
3.347336800,1,1,1
3.347337120,0,1,0
3.347337440,0,1,1
3.347337920,0,1,0
3.347338080,0,1,1
3.347338560,0,1,0
3.347338720,0,1,1
3.347339200,0,0,0
3.347339360,0,0,1
3.347339840,0,0,0
3.347340160,0,0,1
3.347340480,0,0,0
3.347340800,0,0,1
3.347341120,0,0,0
3.347341440,0,0,1
3.347341760,0,0,0
3.347342080,0,0,1
3.347342560,0,0,0
3.347342720,0,0,1
3.347343200,0,0,0
3.347343360,0,0,1
3.347343840,0,0,0
3.347344160,0,0,1
3.347344480,1,1,0
3.347344800,1,1,1
3.347345120,0,0,0
3.347345440,0,0,1
3.347345760,0,0,0
3.347346080,0,0,1
3.347346560,0,0,0
3.347346720,0,0,1
3.347347040,1,0,1
3.347347200,1,0,0
3.347347360,1,0,1
3.347347840,0,0,0
3.347348160,0,0,1
3.347348480,0,0,0
3.347348800,0,0,1
3.347349120,0,0,0
3.347349440,0,0,1
3.347349760,0,0,0
3.347350080,0,0,1
3.347350560,0,0,0
3.347350720,0,0,1
3.347351040,1,0,1
3.347351200,1,0,0
3.347351360,1,0,1
3.347351840,1,0,0
3.347352160,1,0,1
3.347352480,0,1,0
3.347352800,0,1,1
3.347353120,0,0,0
3.347353440,0,0,1
3.347353760,1,1,1
3.347353920,1,1,0
3.347354080,1,1,1
3.347354400,0,0,0
3.347354720,0,0,1
3.351291040,0,0,0
3.351291360,0,0,1
3.351291680,0,0,0
3.351292000,0,0,1
3.351292480,0,0,0
3.351292640,0,0,1
3.351293120,0,0,0
3.351293280,0,0,1
3.351293760,0,0,0
3.351293920,0,0,1
3.351294400,0,0,0
3.351294720,0,0,1
3.351295040,0,0,0
3.351295360,0,0,1
3.351295680,0,0,0
3.351296000,0,0,1
3.351296480,0,0,0
3.351296640,0,0,1
3.351297120,0,0,0
3.351297280,0,0,1
3.351297760,0,0,0
3.351297920,0,0,1
3.351298400,0,0,0
3.351298720,0,0,1
3.351299040,0,0,0
3.351299360,0,0,1
3.351299680,0,0,0
3.351300000,0,0,1
3.351300320,0,0,0
3.351300640,0,0,1
3.351301120,0,0,0
3.351301280,0,0,1
3.351301760,0,0,0
3.351301920,0,0,1
3.351302400,0,0,0
3.351302720,0,0,1
3.351303040,0,0,0
3.351303360,0,0,1
3.351303680,0,0,0
3.351304000,0,0,1
3.351304320,1,0,0
3.351304640,1,0,1
3.351304960,0,0,1
3.351305120,0,0,0
3.351305280,0,0,1
3.351305760,0,0,0
3.351305920,0,0,1
3.351306400,0,0,0
3.351306720,0,0,1
3.351307040,0,0,0
3.351307360,0,0,1
3.351307680,0,0,0
3.351308000,0,0,1
3.351308320,1,0,0
3.351308640,1,0,1
3.351308960,0,0,1
3.351309120,0,0,0
3.351309280,0,0,1
3.351309760,0,0,0
3.351309920,0,0,1
3.351310400,0,0,0
3.351310720,0,0,1
3.351311040,0,0,0
3.351311360,0,0,1
3.351311680,0,0,0
3.351312000,0,0,1
3.351731040,0,0,0
3.351731360,0,0,1
3.351731680,0,0,0
3.351732000,0,0,1
3.351732480,0,0,0
3.351732640,0,0,1
3.351733120,0,0,0
3.351733280,0,0,1
3.351733600,1,0,1
3.351733760,1,1,0
3.351733920,1,1,1
3.351734400,0,0,0
3.351734560,0,0,1
3.351735040,0,0,0
3.351735360,0,0,1
3.351735680,0,0,0
3.351736000,0,0,1
3.351736320,0,0,0
3.351736640,0,0,1
3.351737120,0,0,0
3.351737280,0,0,1
3.351737760,0,0,0
3.351737920,0,0,1
3.351738240,1,0,1
3.351738400,1,0,0
3.351738560,1,0,1
3.351739040,0,0,0
3.351739360,0,0,1
3.351739680,0,0,0
3.351740000,0,0,1
3.351740320,0,0,0
3.351740640,0,0,1
3.351741120,0,0,0
3.351741280,0,0,1
3.351741600,1,0,1
3.351741760,1,1,0
3.351741920,1,1,1
3.351742400,0,0,0
3.351742560,0,0,1
3.351743040,0,0,0
3.351743360,0,0,1
3.351743680,0,0,0
3.351744000,0,0,1
3.351744320,0,1,0
3.351744640,0,1,1
3.351744960,0,0,0
3.351745280,0,0,1
3.351745760,0,0,0
3.351745920,0,0,1
3.351746400,0,0,0
3.351746560,0,0,1
3.351747040,0,0,0
3.351747360,0,0,1
3.351747680,0,0,0
3.351748000,0,0,1
3.351748320,1,1,0
3.351748640,1,1,1
3.351748960,0,1,0
3.351749280,0,1,1
3.351749760,0,0,0
3.351749920,0,0,1
3.351750400,0,0,0
3.351750560,0,0,1
3.351751040,1,1,0
3.351751360,1,1,1
3.351751680,0,0,0
3.351752000,0,0,1
3.351990720,0,0,0
3.351990880,0,0,1
3.351991360,0,0,0
3.351991680,0,0,1
3.351992000,0,0,0
3.351992320,0,0,1
3.351992800,0,0,0
3.351992960,0,0,1
3.351993440,0,0,0
3.351993600,0,0,1
